iter	Passed	Remaining
211	1940	2635
212	1949	2627
213	1958	2617
214	1968	2608
215	1976	2598
216	1985	2589
217	1994	2579
218	2006	2574
219	2019	2570
220	2030	2563
221	2045	2560
222	2056	2554
223	2070	2551
224	2082	2545
225	2093	2538
226	2104	2530
227	2116	2525
228	2131	2522
229	2141	2513
230	2151	2505
231	2163	2498
232	2173	2490
233	2183	2481
234	2193	2473
235	2202	2463
236	2211	2454
237	2220	2444
238	2228	2434
239	2237	2423
240	2246	2414
241	2254	2404
242	2263	2393
243	2272	2383
244	2281	2374
245	2291	2365
246	2299	2355
247	2308	2345
248	2316	2335
249	2326	2326
250	2334	2316
251	2344	2306
252	2352	2297
253	2362	2287
254	2371	2278
255	2379	2267
256	2389	2259
257	2398	2249
258	2407	2240
259	2416	2230
260	2425	2221
261	2433	2210
262	2442	2200
263	2450	2190
264	2460	2181
265	2468	2171
266	2476	2160
267	2485	2151
268	2493	2141
269	2503	2132
270	2511	2122
271	2522	2114
272	2530	2104
273	2540	2095
274	2551	2087
275	2560	2077
276	2568	2068
277	2577	2058
278	2586	2048
279	2594	2038
280	2604	2030
281	2613	2020
282	2622	2011
283	2630	2000
284	2639	1990
285	2647	1981
286	2655	1971
287	2663	1960
288	2671	1950
289	2680	1941
290	2689	1931
291	2698	1922
292	2706	1912
293	2715	1902
294	2724	1892
295	2733	1883
296	2742	1874
297	2751	1865
298	2759	1855
299	2768	1845
300	2778	1837
301	2786	1827
302	2796	1817
303	2804	1808
304	2814	1799
305	2823	1789
306	2833	1781
307	2842	1772
308	2852	1763
309	2862	1754
310	2871	1744
311	2882	1736
312	2890	1727
313	2900	1718
314	2911	1710
315	2921	1701
316	2932	1692
317	2941	1683
318	2952	1675
319	2964	1667
320	2975	1659
321	2985	1650
322	2998	1643
323	3011	1635
324	3023	1627
325	3034	1619
326	3047	1612
327	3058	1603
328	3067	1594
329	3078	1585
330	3086	1575
331	3096	1566
332	3105	1557
333	3114	1547
334	3122	1538
335	3130	1528
336	3140	1518
337	3148	1509
338	3158	1499
339	3166	1490
340	3177	1481
341	3186	1472
342	3195	1462
343	3205	1453
344	3213	1443
345	3222	1434
346	3237	1427
347	3245	1417
348	3254	1408
349	3262	1398
350	3272	1389
351	3281	1379
352	3289	1370
353	3298	1360
354	3308	1351
355	3317	1342
356	3326	1332
357	3336	1323
358	3345	1313
359	3355	1304
360	3365	1295
361	3374	1286
362	3383	1277
363	3391	1267
364	3401	1258
365	3410	1248
366	3418	1239
367	3427	1229
368	3438	1220
369	3448	1211
370	3471	1206
371	3481	1197
372	3490	1188
373	3500	1179
374	3510	1170
375	3520	1161
376	3530	1151
377	3538	1142
378	3547	1132
379	3556	1122
380	3565	1113
381	3573	1103
382	3583	1094
383	3592	1085
384	3601	1075
385	3610	1066
386	3618	1056
387	3628	1047
388	3636	1037
389	3645	1028
390	3655	1018
391	3664	1009
392	3672	999
393	3681	990
394	3690	981
395	3699	971
396	3708	962
397	3716	952
398	3725	943
399	3733	933
400	3743	924
401	3751	914
402	3761	905
403	3770	895
404	3778	886
405	3788	877
406	3797	867
407	3806	858
408	3814	848
409	3824	839
410	3832	829
411	3842	820
412	3852	811
413	3861	802
414	3870	792
415	3879	783
416	3889	774
417	3897	764
418	3908	755
419	3919	746
420	3929	737
421	3939	728
422	3951	719
423	3961	710
424	3973	701
425	3985	692
426	3995	683
427	4005	673
428	4016	664
429	4025	655
430	4035	646
431	4045	636
432	4055	627
433	4064	618
434	4073	608
435	4083	599
436	4093	590
437	4104	580
438	4115	571
439	4124	562
440	4135	553
441	4144	543
442	4155	534
443	4165	525
444	4175	516
445	4185	506
446	4196	497
447	4205	488
448	4215	478
449	4224	469
450	4234	460
451	4245	450
452	4254	441
453	4267	432
454	4281	423
455	4290	414
456	4302	404
457	4313	395
458	4321	386
459	4332	376
460	4342	367
461	4351	357
462	4360	348
463	4369	338
464	4380	329
465	4389	320
466	4399	310
467	4413	301
468	4426	292
469	4435	283
470	4447	273
471	4458	264
472	4467	255
473	4477	245
474	4487	236
475	4497	226
476	4507	217
477	4516	207
478	4527	198
479	4537	189
480	4546	179
481	4556	170
482	4565	160
483	4576	151
484	4587	141
485	4596	132
486	4606	122
487	4616	113
488	4626	104
489	4637	94
490	4645	85
491	4654	75
492	4664	66
493	4674	56
494	4682	47
495	4691	37
496	4704	28
497	4713	18
498	4723	9
499	4733	0
