iter	RMSE
314	0.7393827353
315	0.7376225371
316	0.7359626896
317	0.7345847301
318	0.7341745059
319	0.7330524395
320	0.7319526572
321	0.7301952892
322	0.7287026455
323	0.7284858485
324	0.7272302312
325	0.7253751038
326	0.725027585
327	0.7241531225
328	0.7231014136
329	0.7217825099
330	0.720802832
331	0.7191655311
332	0.7173936258
333	0.7171622365
334	0.7167861399
335	0.7152836549
336	0.7149235957
337	0.7129312197
338	0.711540764
339	0.7111186134
340	0.7096205331
341	0.7084196689
342	0.7082616907
343	0.7072749272
344	0.7054220512
345	0.704624669
346	0.7044527862
347	0.7030764125
348	0.7015765674
349	0.6997777007
350	0.6983941863
351	0.6970107975
352	0.6960939881
353	0.6953783044
354	0.6951844711
355	0.693270968
356	0.6921994979
357	0.6913380304
358	0.6900464654
359	0.6886549343
360	0.687496158
361	0.6872144066
362	0.6851539834
363	0.6838579868
364	0.6828627662
365	0.6818017459
366	0.6804395749
367	0.6795751534
368	0.679204185
369	0.6778938223
370	0.6767198424
371	0.675084294
372	0.6734059223
373	0.6724220903
374	0.6719277637
375	0.671059326
376	0.6702176518
377	0.6692138341
378	0.6685697268
379	0.6678004719
380	0.6676389496
381	0.6673796233
382	0.6666705014
383	0.665403011
384	0.6646721497
385	0.6634001531
386	0.6623185737
387	0.6620301128
388	0.6607504823
389	0.6604287858
390	0.6591231343
391	0.6575369445
392	0.6568150725
393	0.6557684307
394	0.6545847595
395	0.6529570305
396	0.6527993175
397	0.6512675994
398	0.6501671693
399	0.6491930365
400	0.6477797241
401	0.6473230817
402	0.6466164315
403	0.6456523132
404	0.6440568531
405	0.6428262893
406	0.6416454787
407	0.6414800435
408	0.6407624627
409	0.6405161928
410	0.6395564731
411	0.6385325701
412	0.6382772188
413	0.6370583075
414	0.6364559016
415	0.6361290908
416	0.6358174542
417	0.634630011
418	0.6337372843
419	0.6328250752
420	0.631634807
421	0.6308577391
422	0.6295650424
423	0.6293201864
424	0.628199396
425	0.6273388418
426	0.6262701131
427	0.6260782905
428	0.6255739063
429	0.6252172752
430	0.6234879382
431	0.6226301144
432	0.6219566223
433	0.6208916185
434	0.6197997099
435	0.6186730335
436	0.6176291703
437	0.6161104046
438	0.6159787966
439	0.6158464014
440	0.6147096878
441	0.6138770635
442	0.6132203723
443	0.6129572366
444	0.6119698437
445	0.6117681088
446	0.6112413151
447	0.6092980991
448	0.6081661281
449	0.6072627517
450	0.606333975
451	0.6055538248
452	0.6039253226
453	0.6025226917
454	0.6016005445
455	0.6008989436
456	0.6007331958
457	0.5998394228
458	0.5988125597
459	0.5975582902
460	0.5969638876
461	0.5961583672
462	0.5958146759
463	0.595556478
464	0.5946402829
465	0.593897772
466	0.592862384
467	0.5915162202
468	0.5902398527
469	0.5892252869
470	0.5881226063
471	0.5866241674
472	0.5861685414
473	0.5850323296
474	0.5834567497
475	0.5832267118
476	0.5823335085
477	0.5815339682
478	0.5813072435
479	0.5805276868
480	0.5794789611
481	0.5791640412
482	0.5781765185
483	0.5773855524
484	0.5766632482
485	0.5758695994
486	0.5751144101
487	0.5742428649
488	0.5732889032
489	0.5724695681
490	0.5715425701
491	0.5709039675
492	0.5699390572
493	0.5690762423
494	0.568391557
495	0.5675488261
496	0.5671506127
497	0.566475935
498	0.5652177269
499	0.5643879753
