iter	RMSE
0	2.236194073
1	2.20503835
2	2.175348625
3	2.147410574
4	2.11802413
5	2.092091952
6	2.066128656
7	2.038942287
8	2.013440145
9	1.988001857
10	1.960507878
11	1.936910938
12	1.914610087
13	1.891845456
14	1.874984731
15	1.854873997
16	1.838727051
17	1.823341583
18	1.804766246
19	1.783839323
20	1.764775414
21	1.747203907
22	1.730169708
23	1.712190678
24	1.692752746
25	1.679167335
26	1.663905341
27	1.650227775
28	1.637745972
29	1.621813491
30	1.607644597
31	1.59619968
32	1.581853973
33	1.568746073
34	1.555701629
35	1.540929818
36	1.530063391
37	1.521221381
38	1.512591327
39	1.499333174
40	1.486899772
41	1.476070731
42	1.466464395
43	1.455690078
44	1.446488414
45	1.434437103
46	1.426548181
47	1.418890901
48	1.412840433
49	1.402284933
50	1.391821711
51	1.382501565
52	1.371814843
53	1.361533611
54	1.356089081
55	1.346758961
56	1.340168016
57	1.331989594
58	1.323959934
59	1.317349112
60	1.312704082
61	1.305349479
62	1.299053104
63	1.293424456
64	1.28790724
65	1.281374944
66	1.274848289
67	1.266956408
68	1.26173357
69	1.255129614
70	1.245969504
71	1.240330857
72	1.234514672
73	1.230184188
74	1.225679563
75	1.222347181
76	1.217084056
77	1.211930656
78	1.208655719
79	1.205369049
80	1.199608237
81	1.19565389
82	1.190435006
83	1.186200957
84	1.179525239
85	1.175609342
86	1.171563655
87	1.168395579
88	1.165047706
89	1.161920978
90	1.158040294
91	1.154129686
92	1.151378043
93	1.145728288
94	1.143732713
95	1.141016621
96	1.134592922
97	1.130617961
98	1.12754394
99	1.123952624
100	1.119923849
101	1.116653835
102	1.112071556
103	1.106797572
104	1.101701293
105	1.098859165
106	1.096338768
107	1.092648929
108	1.089601979
109	1.087724392
110	1.084624791
111	1.0800509
112	1.077779586
113	1.073077675
114	1.071086551
115	1.06803039
116	1.06509873
117	1.062861454
118	1.059634714
119	1.058134751
120	1.056665313
121	1.054355299
122	1.051311976
123	1.049407161
124	1.047281493
125	1.044413642
126	1.041572995
127	1.039259895
128	1.035374883
129	1.032587319
130	1.03140457
131	1.029525836
132	1.02717374
133	1.025215025
134	1.022633403
135	1.021509637
136	1.018604736
137	1.016157012
138	1.01251301
139	1.010427667
140	1.007704104
141	1.00489439
142	1.001832484
143	0.9998426929
144	0.9977331919
145	0.9964162778
146	0.9940115295
147	0.9933305444
148	0.9916236943
149	0.9894426746
150	0.9870667614
151	0.9851446766
152	0.9840874757
153	0.98106894
154	0.9798074322
155	0.9786522813
156	0.9766942485
157	0.9745532702
158	0.9712376613
159	0.9691629603
160	0.9672447734
161	0.9654473503
162	0.9635678689
163	0.9624384207
164	0.9613819158
165	0.959052175
166	0.9575194423
167	0.9567335366
168	0.954022809
169	0.952623716
170	0.950346824
171	0.9494831967
172	0.9481043408
173	0.9473562666
174	0.9441174613
175	0.9414953704
176	0.9398122563
177	0.9387745504
178	0.9374811064
179	0.9358385836
180	0.9336200898
181	0.9314794652
182	0.929750307
183	0.9274283243
184	0.9263397446
185	0.9234802518
186	0.9218438695
187	0.9208804559
188	0.9190815702
189	0.9166702989
190	0.9148887377
191	0.9140880064
192	0.9132915411
193	0.9117030224
194	0.9092283412
195	0.90565104
196	0.9041003841
197	0.9030342074
198	0.900718119
199	0.8991238782
200	0.8979625284
201	0.894873486
202	0.8929495252
203	0.8922276067
204	0.8908960324
205	0.8887062467
206	0.8870920502
207	0.8860853266
208	0.8833681018
209	0.8826308138
210	0.8815883592
211	0.8794785991
212	0.8778208574
213	0.8757570618
214	0.874865811
215	0.8728083589
216	0.8714528296
217	0.8689854457
218	0.8677635946
219	0.8661840848
220	0.8646180286
221	0.8622798983
222	0.8608020003
223	0.8581820748
224	0.8575039971
225	0.8555302674
226	0.8542273461
227	0.8523757996
228	0.8503137163
229	0.8482690356
230	0.8461869554
231	0.8444272662
232	0.8436926091
233	0.8417747888
234	0.8391434532
235	0.8368654748
236	0.8351304565
237	0.8340289074
238	0.8326073488
239	0.8313825575
240	0.8295625699
241	0.8276918596
242	0.8266370889
243	0.8255165796
244	0.8241832677
245	0.8222374798
246	0.8209999191
247	0.8199321241
248	0.8193290652
249	0.8180552235
250	0.8168005526
251	0.815661719
252	0.8130093082
253	0.8111791942
254	0.8086197374
255	0.8078489548
256	0.8068172991
257	0.8056521905
258	0.8052105478
259	0.803688682
260	0.8021588244
261	0.8007367774
262	0.7998311656
263	0.7987516716
264	0.7981786272
265	0.7975491508
266	0.7971047964
267	0.7954011089
268	0.7942368257
269	0.7933019912
270	0.7917485892
271	0.7911505295
272	0.7900499012
273	0.7894328838
274	0.7871879903
275	0.7869680924
276	0.7859964055
277	0.7853046704
278	0.7845939473
279	0.7837210502
280	0.7823484331
281	0.7811809727
282	0.7802616075
283	0.7800347212
284	0.7780566693
285	0.7756239644
286	0.7729922597
287	0.7723100408
288	0.7715129999
289	0.7712520354
290	0.7703957167
291	0.769240696
292	0.768078879
293	0.7660337028
294	0.765502142
295	0.7630058241
296	0.7612837021
297	0.761025375
298	0.760762184
299	0.7585040373
300	0.7564278589
301	0.7547528703
302	0.7526318633
303	0.7514923268
304	0.7498669858
305	0.7496172307
306	0.74925463
307	0.7485617509
308	0.7469600054
309	0.7443380456
310	0.7440961594
311	0.7438808765
312	0.7421384297
313	0.7405879925
