composition,Formula,Host,Bandgap_eV,Absorption_edge_nm,BET_m2_g,Carrier_lifetime_ns,Co_catalyst_type,Co_catalyst_loading_wt_pct,Sacrificial_agent_type,Sacrificial_agent_vol_pct,Light_source_power_density,Reaction_pH,Reactor_type,CB_eV_vs_NHE,VB_eV_vs_NHE,Pred_HER,Std_HER,Sigma_log10,Uncertainty_Factor,Pred_AQY,Std_AQY,Pred_STH_raw,Std_STH,Pred_STH,Theoretical_Max_STH,Glycerol_Filter_Pass,VB_Overpotential_V,Composite_Score,Cost_Multiplier,Rank
In2S3,Ni(2.69wt%)/In2S3,In2S3,1.8172606466559302,682.3457065896473,72.992517282515,4.429887583781862,Ni,2.694415948054683,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.661144437986668,1.1561162086692622,5721.130625392272,8056.877529143994,0.6116024403895913,4.088861878764285,63.903760671869165,0.0,20.4233500790734,0.0,20.4233500790734,20.4233500790734,True,0.7561162086692622,2.977930698608665,1.0,1
In2S3,Ni(2.21wt%)/In2S3,In2S3,1.836671318682288,675.1344061329562,54.57954809844606,5.392126738175233,Ni,2.2137124221859463,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.7846245280693018,1.0520467906129862,5208.618595074383,7274.705948487685,0.6065647912643611,4.041706671867063,68.34647543680398,0.0,19.826337147435215,0.0,19.826337147435215,19.826337147435215,True,0.6520467906129862,2.895750780863852,1.0,2
In2S3,Ni(2.85wt%)/In2S3,In2S3,1.8779765077366979,660.2851499428099,68.72822531498018,5.384561101416747,Ni,2.8454562644860295,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.8311936130235443,1.0467828947131537,5256.364030500832,7251.272417210437,0.599119006845439,3.97300404157303,71.95469453319858,0.0,18.63003608310475,0.0,18.63003608310475,18.63003608310475,True,0.6467828947131536,2.8916622041372557,1.0,3
ZnIn2S4,Ni(2.89wt%)/ZnIn2S4,ZnIn2S4,2.155713622370266,575.2155514221718,82.64843338878242,5.757392711899136,Ni,2.8891931681160496,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.9405445069402404,1.2151691154300255,4979.579391700201,6684.745293472092,0.5830106853447371,3.8283416242033343,69.62182819896196,0.0,11.905677252928292,0.0,11.905677252928292,11.905677252928292,True,0.8151691154300255,2.5033655837947,1.0,4
ZnIn2S4,Ni(2.18wt%)/ZnIn2S4,ZnIn2S4,2.1226274459568826,584.1816482501039,80.73079553639309,7.264614030757832,Ni,2.178651719019256,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.9070187983234703,1.2156086476334123,4703.801666051169,6323.289841826589,0.5838192340463999,3.8354756864637243,70.07950056713307,0.0,12.621945045165727,0.0,12.621945045165727,12.621945045165727,True,0.8156086476334122,2.491900016787286,1.0,5
ZnIn2S4,Ni(1.29wt%)/ZnIn2S4,ZnIn2S4,2.1773029605229905,569.5119248366569,69.17383138516837,5.2227160626009645,Ni,1.2941171956564945,Glycerol,10.0,1000.0,7.0,Pyrex batch,-0.9797573094075547,1.1975456511154359,4902.424045301697,6549.935638443342,0.5802437484622647,3.8040283810995925,69.24821790902662,0.0,11.476735658204314,0.0,11.476735658204314,11.476735658204314,True,0.7975456511154358,2.4608782448137685,1.0,6
