y_true_log,y_pred_log,lower_log,upper_log,y_true_her,y_pred_her,lower_her,upper_her,covered
7.64468008188797,7.7395363712150935,5.689297479473792,9.789775262956395,2088.5000000000005,2296.406992156247,294.68582229825665,17849.294094535395,True
9.071193240566023,9.813476224259432,7.7632373325181305,11.863715116000733,8699.999999999989,18277.41664129045,2351.508142154437,142017.85592907362,True
3.9318256327243257,6.111353380255333,4.061114488514033,8.161592271996634,50.0,449.94860730783927,57.038958800645894,3502.7611052150155,False
4.262679877041316,6.686764017209225,4.636525125467925,8.737002908950526,70.00000000000007,800.7236859032164,102.1851683796737,6228.198232958989,False
8.101374671228582,9.273253839458372,7.22301494771707,11.323492731199673,3298.0000000000014,10648.346837646503,1369.6151706596231,82741.83730123349,True
4.939711989092356,4.972533482229853,2.922294590488552,7.022772373971154,138.73,143.3922395418925,17.58388097024112,1120.8926161499608,True
4.4728951466782725,5.685574459068463,3.635335567327162,7.735813350809764,86.61,293.587024640516,36.91457365482928,2287.869601346509,True
7.8296701656065135,7.736655067202159,5.686416175460858,9.78689395894346,2513.1,2289.796991454148,293.83508775289096,17797.935995208463,True
5.480388892086782,6.365658279365992,4.315419387624692,8.415897171107293,238.93999999999997,580.5275099080354,73.84500593202728,4517.327449756144,True
3.369362658142137,4.60299051077296,2.552751619031659,6.6532294025142615,28.060000000000002,98.78226985518968,11.842392581571694,774.2839912199125,True
4.405987272118725,6.314113470372224,4.263874578630922,8.364352362113525,80.94000000000004,551.3122023555603,70.08487450261848,4290.331608943231,True
6.83825513599761,6.761930856839144,4.7116919650978435,8.812169748580445,931.8600000000004,863.3094434630107,110.24021533104492,6714.474361823334,True
6.56244409369372,6.467923422586379,4.417684530845078,8.51816231432768,706.9999999999999,643.144720792942,81.90410105698352,5003.847963313943,True
5.8888779583328805,5.471065913828439,3.420827022087138,7.52130480556974,359.99999999999983,236.71343981012274,29.59470705955917,1845.9756666196047,True
4.467745510076419,2.6215049614602415,0.5712660697189405,4.6717438532015425,86.16000000000001,12.756410882590163,0.770507218607231,105.88396996173206,True
5.775637911756629,7.000178104635606,4.949939212894305,9.050416996376907,321.34999999999997,1095.82849127186,140.16638256484407,8521.090864750307,True
6.052512608672916,5.962452991564598,3.9122140998232973,8.0126918833059,424.1799999999999,387.5620957145451,49.00955563274241,3018.0330690966775,True
7.740360007767955,8.444047282038207,6.393808390296906,10.494286173779509,2298.2999999999993,4646.326012208881,597.1301606984076,36107.59388621163,True
11.553885050024473,9.744217771799358,7.693978880058056,11.79445666354066,104180.00000000009,17054.32536042789,2194.09121412975,132514.733869117,True
8.937428678427851,8.507231181699993,6.456992289958691,10.557470073441294,7610.599999999997,4949.437233688718,636.1418338921833,38462.69442575111,True
4.239021940256878,4.795335472219852,2.745096580478551,6.845574363961154,68.34000000000003,119.9449486485487,14.56611724264066,938.7128632392742,True
11.136776411196116,9.400230648102395,7.349991756361094,11.450469539843697,68648.99999999996,12090.16921386031,1555.183699167789,93944.44682378166,True
7.257919071305212,7.028386447406103,4.978147555664801,9.078625339147404,1418.2999999999995,1127.2087166199487,144.20514790665464,8764.907590793464,True
8.556606193773073,8.277852104985833,6.227613213244531,10.328090996727134,5200.000000000001,3934.731758199549,505.5450245610862,30578.679439004176,True
3.204371138665319,4.877148777824703,2.8269098860834023,6.927387669566004,23.639999999999997,130.25589015349067,15.893178241395834,1018.8263733326768,True
8.454040376410969,8.85175087877521,6.8015119870339085,10.901989770516511,4693.000000000001,6985.610976226898,898.2058519177599,54283.26964641074,True
9.30810208975868,9.52558430605164,7.475345414310338,11.575823197792941,11026.00000000002,13704.936046663066,1763.010897573374,106490.79275118638,True
11.909020140718257,11.832497987135737,9.782259095394435,13.882736878877038,148600.00000000038,137652.9198549817,17715.631238550013,1069536.5094905763,True
7.021351785564677,7.716628034096515,5.666389142355214,9.766866925837816,1119.2999999999997,2244.375471545674,287.9891494798608,17445.02182224944,True
8.178919332848396,7.607163636897382,5.556924745156081,9.657402528638682,3564.0000000000005,2011.5616389983077,258.0250422258097,15636.114913532345,True
6.492542819419093,7.615687116738746,5.565448224997445,9.665926008480048,659.2000000000002,2028.7889817153377,260.24227278821763,15769.967180464706,True
6.741700694652055,7.087353480197757,5.037114588456456,9.137592371939059,846.0000000000003,1195.7364192684677,153.02494787114424,9297.351189196052,True
