model,n_features,lomo_r2,lomo_std,delta_r2
Model A: All features (baseline),32,0.7369,0.0881,0.0
Model B: No synthesis features,24,0.7167,0.0937,-0.0202
Model C: No co-catalyst features,30,0.7261,0.0856,-0.0108
Model D: No optical features,23,0.7243,0.0819,-0.0126
