composition,host_material,co_catalyst,co_catalyst_wt_pct,pred_her_umol_g_h,ucb_her_umol_g_h,pred_median_log,pred_p05_log,pred_p95_log,confidence,novelty_score
fe2o3/ru (3.0 wt%),fe2o3,ru,3.0,3669.49026917149,24449.162489039933,8.208080520456596,6.311768900263753,10.10439214064944,MEDIUM,0.07731015444226037
zns/pt (3.0 wt%),zns,pt,3.0,3660.6012078024223,24389.949964578504,8.20565581919584,6.3093441990029975,10.101967439388684,MEDIUM,0.09663339791968795
nb2o5/ru (3.0 wt%),nb2o5,ru,3.0,3576.3806406079925,23828.933206103968,8.182386146962905,6.286074526770062,10.078697767155749,MEDIUM,0.11737315629985663
nb2o5/pd (3.0 wt%),nb2o5,pd,3.0,3570.9830858887985,23792.97858417343,8.180876206791673,6.28456458659883,10.077187826984517,MEDIUM,0.11660360991535114
bivo4/pt (5.0 wt%),bivo4,pt,5.0,3557.120361398066,23700.63509829471,8.176987696039804,6.280676075846961,10.073299316232648,MEDIUM,0.010833377653875225
moo3/rh (3.0 wt%),moo3,rh,3.0,3464.3638613893413,23082.758103448497,8.150572916612761,6.2542612964199185,10.046884536805605,MEDIUM,0.09215995406844113
moo3/wc (3.0 wt%),moo3,wc,3.0,3411.116135147578,22728.060103097472,8.135087945297139,6.238776325104296,10.031399565489982,MEDIUM,0.09444828237398518
v2o5/rh (3.0 wt%),v2o5,rh,3.0,3395.7664682239483,22625.811677706577,8.130579219322296,6.234267599129454,10.02689083951514,MEDIUM,0.08953460441064855
ta2o5/rh (3.0 wt%),ta2o5,rh,3.0,3395.7664682239483,22625.811677706577,8.130579219322296,6.234267599129454,10.02689083951514,MEDIUM,0.08953460441064855
cu2o/rh (3.0 wt%),cu2o,rh,3.0,3395.7664682239483,22625.811677706577,8.130579219322296,6.234267599129454,10.02689083951514,MEDIUM,0.08953460441064855
ga2o3/rh (3.0 wt%),ga2o3,rh,3.0,3395.7664682239483,22625.811677706577,8.130579219322296,6.234267599129454,10.02689083951514,MEDIUM,0.08953460441064855
nife2o4/rh (3.0 wt%),nife2o4,rh,3.0,3395.7664682239483,22625.811677706577,8.130579219322296,6.234267599129454,10.02689083951514,MEDIUM,0.08953460441064855
fe2o3/ir (3.0 wt%),fe2o3,ir,3.0,3344.4602497623378,22284.046603808776,8.115359556449201,6.219047936256358,10.011671176642045,MEDIUM,0.09068291373979491
ga2o3/wc (3.0 wt%),ga2o3,wc,3.0,3343.572788644605,22278.134977039594,8.115094248006674,6.218782627813831,10.011405868199517,MEDIUM,0.09196093424767968
nife2o4/wc (3.0 wt%),nife2o4,wc,3.0,3343.572788644605,22278.134977039594,8.115094248006674,6.218782627813831,10.011405868199517,MEDIUM,0.09196093424767968
ta2o5/wc (3.0 wt%),ta2o5,wc,3.0,3343.572788644605,22278.134977039594,8.115094248006674,6.218782627813831,10.011405868199517,MEDIUM,0.09196093424767968
cu2o/wc (3.0 wt%),cu2o,wc,3.0,3343.572788644605,22278.134977039594,8.115094248006674,6.218782627813831,10.011405868199517,MEDIUM,0.09196093424767968
v2o5/wc (3.0 wt%),v2o5,wc,3.0,3343.572788644605,22278.134977039594,8.115094248006674,6.218782627813831,10.011405868199517,MEDIUM,0.09196093424767968
wo3/pt (5.0 wt%),wo3,pt,5.0,3338.2853917190387,22242.91414698864,8.113512108504063,6.21720048831122,10.009823728696906,MEDIUM,0.11604931808246936
bivo4/ir (3.0 wt%),bivo4,ir,3.0,3251.798935950695,21666.803670849313,8.087271115756067,6.190959495563225,9.98358273594891,MEDIUM,0.015564601735358743
wo3/pd (5.0 wt%),wo3,pd,5.0,3249.675175451589,21652.656708050617,8.086618000040307,6.190306379847464,9.98292962023315,MEDIUM,0.11023172755997517
moo3/ru (3.0 wt%),moo3,ru,3.0,3231.307600743951,21530.305154661888,8.080951588609786,6.184639968416943,9.97726320880263,MEDIUM,0.09206240591316699
srtio3/mos2 (5.0 wt%),srtio3,mos2,5.0,3219.6848030378783,21452.882447707034,8.077349287677917,6.181037667485074,9.97366090787076,MEDIUM,0.9551902811176192
moo3/pd (3.0 wt%),moo3,pd,3.0,3212.036746532369,21401.93660380829,8.074971795879705,6.178660175686862,9.971283416072549,MEDIUM,0.0932209353957767
fe2o3/au (5.0 wt%),fe2o3,au,5.0,3199.726255401733,21319.932978572724,8.071133017850512,6.174821397657669,9.967444638043355,MEDIUM,0.09912227966735383
nife2o4/ru (3.0 wt%),nife2o4,ru,3.0,3179.475934173351,21185.039923917942,8.064786129409946,6.168474509217103,9.96109774960279,MEDIUM,0.08943234028491276
v2o5/ru (3.0 wt%),v2o5,ru,3.0,3179.475934173351,21185.039923917942,8.064786129409946,6.168474509217103,9.96109774960279,MEDIUM,0.08943234028491276
ga2o3/ru (3.0 wt%),ga2o3,ru,3.0,3179.475934173351,21185.039923917942,8.064786129409946,6.168474509217103,9.96109774960279,MEDIUM,0.08943234028491276
ta2o5/ru (3.0 wt%),ta2o5,ru,3.0,3179.475934173351,21185.039923917942,8.064786129409946,6.168474509217103,9.96109774960279,MEDIUM,0.08943234028491276
cu2o/ru (3.0 wt%),cu2o,ru,3.0,3179.475934173351,21185.039923917942,8.064786129409946,6.168474509217103,9.96109774960279,MEDIUM,0.08943234028491276
nife2o4/pd (3.0 wt%),nife2o4,pd,3.0,3123.684480465199,20813.39744331494,8.04708859082193,6.150776970629088,9.943400211014774,MEDIUM,0.09067977907228111
v2o5/pd (3.0 wt%),v2o5,pd,3.0,3123.684480465199,20813.39744331494,8.04708859082193,6.150776970629088,9.943400211014774,MEDIUM,0.09067977907228111
cu2o/pd (3.0 wt%),cu2o,pd,3.0,3123.684480465199,20813.39744331494,8.04708859082193,6.150776970629088,9.943400211014774,MEDIUM,0.09067977907228111
ta2o5/pd (3.0 wt%),ta2o5,pd,3.0,3123.684480465199,20813.39744331494,8.04708859082193,6.150776970629088,9.943400211014774,MEDIUM,0.09067977907228111
ga2o3/pd (3.0 wt%),ga2o3,pd,3.0,3123.684480465199,20813.39744331494,8.04708859082193,6.150776970629088,9.943400211014774,MEDIUM,0.09067977907228111
nb2o5/ir (3.0 wt%),nb2o5,ir,3.0,3108.6853866153388,20713.484283239948,8.042276838196054,6.145965218003211,9.938588458388898,MEDIUM,0.11684428053619103
nb2o5/pt (3.0 wt%),nb2o5,pt,3.0,3086.057494280423,20562.753562327813,8.034973648974146,6.138662028781304,9.93128526916699,MEDIUM,0.11637109550657239
bivo4/mos2 (3.0 wt%),bivo4,mos2,3.0,3042.4249275698057,20272.104829419095,8.02073878115031,6.124427160957468,9.917050401343154,MEDIUM,0.009448991479142037
zns/mos2 (3.0 wt%),zns,mos2,3.0,3019.2538120463737,20117.755546883578,8.013096150561404,6.1167845303685615,9.909407770754248,MEDIUM,0.09672167476643649
wo3/ru (3.0 wt%),wo3,ru,3.0,2970.990094055263,19796.25741974802,7.996987072741672,6.100675452548829,9.893298692934515,MEDIUM,0.11073657362519922
g-c3n4/mos2 (3.0 wt%),g-c3n4,mos2,3.0,2958.6481722275,19714.044425846285,7.992825679519656,6.096514059326814,9.8891372997125,MEDIUM,0.10604809942154471
in2o3/au (3.0 wt%),in2o3,au,3.0,2917.733492146292,19441.50029609479,7.9789050656055105,6.082593445412668,9.875216685798353,MEDIUM,0.10185394907831156
