y_true_log,y_true_umol,boot_median_log,boot_p05_log,boot_p95_log,boot_ci_width_log,conf_pred_log,conf_lo_log,conf_hi_log,conf_ci_width_log,model_disagree_std,host_material,boot_covered,conf_covered
7.64468008188797,2088.5000000000005,8.23130445732116,7.767324081955073,8.717316259312945,0.9499921773578714,8.484783412819326,7.356988669346396,9.612578156292255,2.2555894869458584,0.406179921506586,tio2,0,1
9.071193240566023,8699.999999999989,9.52842186817533,9.046155881300782,9.972050978125553,0.925895096824771,9.73179565918332,8.60400091571039,10.859590402656249,2.2555894869458584,0.27560193947358297,tio2,1,1
3.9318256327243257,50.0,6.275227410571359,5.31940269126611,7.08170190518435,1.76229921391824,5.661547814783615,4.533753071310686,6.7893425582565445,2.2555894869458584,0.38775998534059236,tio2,0,0
4.262679877041316,70.00000000000007,6.383427433681447,5.574926810631697,6.876665416335719,1.3017386057040214,6.446136551501413,5.318341808028483,7.573931294974342,2.2555894869458584,0.38920377432642755,tio2,0,0
8.101374671228582,3298.0000000000014,8.852640168952615,8.469233619703399,9.38494707804091,0.9157134583375104,9.187712180453454,8.059917436980525,10.315506923926383,2.2555894869458584,0.8520529621887695,tio2,0,1
4.939711989092356,138.73,4.991103710346161,4.093452777198499,5.538472876182008,1.445020098983509,4.820436496297017,3.6926417528240876,5.948231239769946,2.2555894869458584,0.5435282003648984,la0.2na0.98tao3,1,1
4.4728951466782725,86.61,5.473317862295936,4.673626282793084,6.374265488400474,1.7006392056073905,5.5138979938771335,4.386103250404204,6.641692737350063,2.2555894869458584,0.7683044815746192,cuo,0,1
7.8296701656065135,2513.1,7.533845443667225,6.881990497356688,8.361121867868174,1.4791313705114861,7.301575586031976,6.173780842559047,8.429370329504906,2.2555894869458584,0.4916432704018049,tio2,1,1
5.480388892086782,238.93999999999997,6.334088685575806,5.99350088993779,6.675157379579573,0.6816564896417825,6.2674370332159715,5.139642289743042,7.395231776688901,2.2555894869458584,0.29036978705194816,zno,0,1
3.369362658142137,28.060000000000002,4.923076791515925,4.256585414646925,6.1278366245889275,1.8712512099420024,4.743831692426043,3.6160369489531137,5.871626435898972,2.2555894869458584,0.890515875937,tio2,0,0
