,CV_R2_mean,CV_R2_std,LOMO_CV_R2_mean,LOMO_CV_R2_std,Test_R2_log,Test_R2_original,Test_MAE_log,Test_MAE_umol_g_h,Test_RMSE_umol_g_h,composite_selection_score,Spearman_rho_log,Spearman_pval_log,Spearman_rho_original,Spearman_pval_original
XGBoost,0.7930285485852533,0.024489299231138666,0.7738520771636284,0.10564859579237103,0.7831249849760018,0.5269478146884539,0.7428696409555043,6326.929078113163,18704.07584734146,0.6751,,,,
LightGBM,0.7969417619365339,0.025406045780147157,0.7737961292545068,0.12865697469184198,0.7829707281243243,0.4346422342309064,0.7265044179372558,6561.602494821475,20447.650312279042,0.6381,0.922,6.314997112669845e-53,0.922,6.314997112669845e-53
Ridge,0.4090120088479128,0.03935274822046461,0.4191775100326985,0.16575014540676503,0.39734797329985705,-0.08609051860769612,1.4063864185352863,10314.573957982595,28340.971907572493,0.2515,,,,
