Configuration,LOGO_CV_R2,MAE,RMSE,Spearman_rho
1. Experimental features only,-0.3805,2.2079,2.6652,0.1113
2. Semiconductor descriptors only,-0.7308,2.5095,2.9843,-0.3461
3. Cocatalyst descriptors only,-0.5164,2.317,2.7934,0.0022
4. Structural descriptors only,-0.9521,2.6453,3.1694,-0.1606
5. Combined descriptors (no exp),-0.4942,2.3332,2.7729,0.026
6. Full model,-0.3123,2.1843,2.5986,0.1718
